Date,Time,Open,High,Low,Close,Volume
2017.12.04,06:30,11308,11284,11317,11232,484.4782093
2017.12.04,06:45,11284.12089969,11357,11436,11284,1242.59576573
2017.12.04,07:00,11357,11321,11428,11313,523.30834423
2017.12.04,07:15,11321,11300,11322,11164,2083.74691051
2017.12.04,07:30,11300,11278,11305,11220.15531791,460.32302326
2017.12.04,07:45,11268,11338,11359,11264,249.56793882
2017.12.04,08:00,11338,11250,11350,11250,367.92411646
2017.12.04,08:15,11249,11259,11281.99411292,11214,306.72846705
2017.12.04,08:30,11259,11262,11299,11239,150.26652079
2017.12.04,08:45,11263,11240,11265,11172,460.76230487
2017.12.04,09:00,11239,11311,11324.79974591,11222,385.65872324
2017.12.04,09:15,11304,11315,11337,11270,272.54137079
2017.12.04,09:30,11315,11280,11319,11252,188.57758433
2017.12.04,09:45,11276,11224,11296,11219,195.95817846
2017.12.04,10:00,11226,11078,11235,11078,1208.80738724
2017.12.04,10:15,11084,11138.85587039,11143,11024,1353.27827573
2017.12.04,10:30,11138,11042,11141,11031,789.42943086
2017.12.04,10:45,11042,11150,11170,11036,651.89740167
2017.12.04,11:00,11152,11143,11162,11104,338.13786081
2017.12.04,11:15,11143,11129,11163.74319598,11071,445.76116369
2017.12.04,11:30,11121,11128,11149,11070,249.1372633
2017.12.04,11:45,11128.09469488,11153,11189,11113,484.95348745
2017.12.04,12:00,11153,11276,11370,11153,1323.17158296
2017.12.04,12:15,11276,11371,11382,11276,603.40793748
2017.12.04,12:30,11372,11501,11506,11369,1943.69660467
2017.12.04,12:45,11501,11360,11523,11327,1391.6833367
2017.12.04,13:00,11360,11498,11525,11360,1279.14562548
2017.12.04,13:15,11498,11513,11530,11431,593.75211291
2017.12.04,13:30,11511,11521,11549,11467,753.90960752
2017.12.04,13:45,11538,11458,11538,11424,612.00484771
2017.12.04,14:00,11459,11474,11491,11439,413.7226872
2017.12.04,14:15,11469,11410,11480,11410,210.14178619
2017.12.04,14:30,11410,11441,11453,11401,329.4776572
2017.12.04,14:45,11439,11448,11448,11369,619.40752581
2017.12.04,15:00,11446,11489,11496,11411,357.51050258
2017.12.04,15:15,11489,11469,11524,11467,560.25116201
2017.12.04,15:30,11469,11491,11499,11464,215.64358188
2017.12.04,15:45,11492,11599,11599,11486,827.74658735
2017.12.04,16:00,11598,11596,11640,11560,969.48580207
2017.12.04,16:15,11596,11579,11597,11503,529.45727868
2017.12.04,16:30,11578,11534,11580,11530,222.78441397
2017.12.04,16:45,11541,11563,11584,11534,158.24053478
2017.12.04,17:00,11563,11560,11598,11551,261.63040968
2017.12.04,17:15,11559,11559,11589,11555,172.17777846
2017.12.04,17:30,11556.07113767,11542,11558,11501,326.32678044
2017.12.04,17:45,11535,11513,11545,11510,253.65437787
2017.12.04,18:00,11518,11576,11579,11510,313.24466802
2017.12.04,18:15,11575,11572,11597,11562,469.3191226
2017.12.04,18:30,11574,11607,11665,11574,815.3449144
2017.12.04,18:45,11607,11521,11634,11470,1276.58652428
2017.12.04,19:00,11520,11506,11576,11506,331.43017911
2017.12.04,19:15,11508,11534,11539,11485,274.34344652
2017.12.04,19:30,11529,11557,11589,11529,278.01456475
2017.12.04,19:45,11555,11566,11590,11525,209.78041646
2017.12.04,20:00,11571,11466,11587,11465,490.12577865
2017.12.04,20:15,11466,11432,11518,11420,353.06115574
2017.12.04,20:30,11430,11465,11488,11410,441.26361724
2017.12.04,20:45,11466,11480,11480,11405,649.98576171
2017.12.04,21:00,11480,11505,11525,11465,315.92034043
2017.12.04,21:15,11508,11550,11550,11489,183.51230965
2017.12.04,21:30,11549,11522,11571,11504,264.7721583
2017.12.04,21:45,11521,11504,11535,11500,180.28620729
2017.12.04,22:00,11503,11516,11536,11500,178.42320171
2017.12.04,22:15,11517,11564,11570,11511,188.85304688
2017.12.04,22:30,11561,11539,11571,11528,157.30195516
2017.12.04,22:45,11539,11544,11558,11525,186.68601126
2017.12.04,23:00,11545,11544,11569,11527,163.36240308
2017.12.04,23:15,11543,11545,11570,11540,148.03576457
2017.12.04,23:30,11545,11691,11716,11540,1976.33360743
2017.12.04,23:45,11692,11812,11840,11634,2069.27339139
2017.12.05,00:00,11811,11761,11842,11760,756.7889842
2017.12.05,00:15,11763,11770,11825,11709,761.67656829
2017.12.05,00:30,11765,11780,11784,11744,179.75568615
2017.12.05,00:45,11781,11790,11820,11750,435.29973633
2017.12.05,01:00,11790,11769,11790,11750,348.81135542
2017.12.05,01:15,11770,11753,11780,11750,239.91883614
2017.12.05,01:30,11753,11741,11773,11730,416.55326792
2017.12.05,01:45,11740,11688,11742,11635,723.5638534
2017.12.05,02:00,11688,11529,11709,11501,1504.51539022
2017.12.05,02:15,11521,11639,11651,11521,504.96128096
2017.12.05,02:30,11639,11621,11639,11567,372.6803924
2017.12.05,02:45,11621,11652,11665,11593,320.55026854
2017.12.05,03:00,11654,11653,11686,11626,204.87991823
2017.12.05,03:15,11653,11644.16889587,11653,11571,261.1189469
2017.12.05,03:30,11645,11657,11700,11644,298.05077691
2017.12.05,03:45,11657,11665,11689,11647,174.47221858
2017.12.05,04:00,11666,11637,11697,11612,530.50436617
2017.12.05,04:15,11639,11636,11650,11620,169.13386379
2017.12.05,04:30,11636,11715,11750,11631,441.50750201
2017.12.05,04:45,11708,11730,11742,11700,235.21717926
2017.12.05,05:00,11730,11791,11792,11718,407.3906316
2017.12.05,05:15,11792,11891,11937,11763,1641.80010981
2017.12.05,05:30,11890,11895,11961,11851,1438.1836296
2017.12.05,05:45,11896,11751,11896,11712,1225.73330053
2017.12.05,06:00,11751,11806,11841,11745,494.00951457
2017.12.05,06:15,11806,11858,11858,11777,434.85456187
2017.12.05,06:30,11851,11780,11858,11780,247.49063384
2017.12.05,06:45,11787,11762,11798,11751,220.77485015
2017.12.05,07:00,11762,11802,11802,11720,415.66178517
2017.12.05,07:15,11800,11779,11828,11775,319.6278237
2017.12.05,07:30,11778,11845,11850,11762,333.78260997
2017.12.05,07:45,11845,11782,11878,11781,532.98613555
2017.12.05,08:00,11783,11688,11784,11561,2559.44461754
2017.12.05,08:15,11689,11691.74742636,11705,11650,438.11005134
2017.12.05,08:30,11696,11640,11696,11437,2394.72090325
2017.12.05,08:45,11641,11600,11646,11547,633.83020104
2017.12.05,09:00,11601,11681,11691,11573,664.98332672
2017.12.05,09:15,11682,11700,11743,11671,595.00983703
2017.12.05,09:30,11700,11705,11728,11670,518.40273316
2017.12.05,09:45,11705,11605,11726,11605,416.28746039
2017.12.05,10:00,11606,11679,11712,11585,676.35489552
2017.12.05,10:15,11671,11668,11693,11638,287.04166669
2017.12.05,10:30,11670,11683,11696,11611,363.21039885
2017.12.05,10:45,11684,11683,11696,11671,157.43376541
2017.12.05,11:00,11683,11711,11729,11683,234.38627739
2017.12.05,11:15,11711,11735,11744,11672,306.02139281
2017.12.05,11:30,11737,11719,11771.89370859,11715,525.26834961
2017.12.05,11:45,11719,11689,11754.9946703,11650,417.42740408
2017.12.05,12:00,11689,11716,11730,11685,288.17498782
2017.12.05,12:15,11713,11751,11769,11685,324.29838757
2017.12.05,12:30,11750,11757,11800,11743,299.81060897
2017.12.05,12:45,11754,11709,11755,11709,250.37615465
2017.12.05,13:00,11709,11729,11733,11671,295.00226086
2017.12.05,13:15,11727,11696,11727,11673,227.62217415
2017.12.05,13:30,11695,11714,11736,11679,202.82182275
2017.12.05,13:45,11718,11725,11740,11717,223.81420875
2017.12.05,14:00,11725,11745,11745,11702,234.01905457
2017.12.05,14:15,11744,11640,11751,11636,674.04741973
2017.12.05,14:30,11639,11650,11674,11602,525.69670963
2017.12.05,14:45,11650,11686,11686,11642,362.90230821
2017.12.05,15:00,11686,11663,11715,11648,698.56737807
2017.12.05,15:15,11662,11678,11679,11631,334.26448618
2017.12.05,15:30,11674,11636,11679,11630,394.72446788
2017.12.05,15:45,11637,11592,11648,11561,978.34444241
2017.12.05,16:00,11591,11667,11669,11590,815.8126301
2017.12.05,16:15,11666,11735,11743,11643,494.49001924
2017.12.05,16:30,11736,11786,11830,11730,1001.94398218
2017.12.05,16:45,11785,11808,11839,11730,703.437082
2017.12.05,17:00,11809,11841,11860,11782,657.87622449
2017.12.05,17:15,11841,11785,11855,11780,765.07525556
2017.12.05,17:30,11784,11835,11844,11761,448.85216532
2017.12.05,17:45,11836,11879,11882,11793,714.54713351
2017.12.05,18:00,11877,11941,11959,11823,1409.66957609
2017.12.05,18:15,11948,12085,12099,11948,2145.01833781
2017.12.05,18:30,12087,12120,12160,12021,1714.73559416
2017.12.05,18:45,12120,12145,12169,12082,1052.42129649
2017.12.05,19:00,12147,12167,12225,12076,1564.01601019
2017.12.05,19:15,12166,12219,12220,12112,630.35212461
2017.12.05,19:30,12216,12216,12223,12155,393.54814828
2017.12.05,19:45,12218,12222,12278,12210,833.73244599
2017.12.05,20:00,12222,12163,12250,12102,675.68161668
2017.12.05,20:15,12163,12220,12220,12163,306.09480932
2017.12.05,20:30,12220,12150,12230,12148,610.30642802
2017.12.05,20:45,12150,12199,12219,12139,471.23198125
2017.12.05,21:00,12211,12129,12218,12121,751.26682334
2017.12.05,21:15,12129,12145,12163,12121,325.20521322
2017.12.05,21:30,12145,12160,12161,12110,300.62332328
2017.12.05,21:45,12161,12283,12289,12160,737.53027649
2017.12.05,22:00,12281,12340,12350,12250,945.55892858
2017.12.05,22:15,12339,12362,12400,12330,638.44821415
2017.12.05,22:30,12371,12349,12389,12307,589.44222904
2017.12.05,22:45,12335,12390,12400,12326,441.48086535
2017.12.05,23:00,12387,12363,12465,12321,1418.47701261
2017.12.05,23:15,12363,12419,12467,12350,839.59144573
2017.12.05,23:30,12419,12391,12434,12350,723.88453553
2017.12.05,23:45,12391,12379,12400,12357,393.57633711
2017.12.06,00:00,12379,12406,12418.69276545,12332,629.97360912
2017.12.06,00:15,12401,12458,12470,12401,442.6162911
2017.12.06,00:30,12460,12441,12470,12395,401.62402617
2017.12.06,00:45,12440,12395,12441,12360,403.49389767
2017.12.06,01:00,12399,12460,12489,12395,499.4590083
2017.12.06,01:15,12457,12497,12500,12457,351.05629136
2017.12.06,01:30,12499,12472,12500,12440.655319,389.18216773
2017.12.06,01:45,12472,12474,12536,12461,696.71289682
2017.12.06,02:00,12475,12555,12558,12468,476.05077331
2017.12.06,02:15,12555,12638,12638,12555,861.34443619
2017.12.06,02:30,12638,12689,12699,12631,633.51480161
2017.12.06,02:45,12688,12800,12800,12652,811.57780553
2017.12.06,03:00,12799,12510,12819,12273,2517.17273244
2017.12.06,03:15,12510,12565,12620,12414,1195.80669759
2017.12.06,03:30,12567,12642,12675,12563,461.58951589
2017.12.06,03:45,12641,12563,12661,12497,672.04701283
2017.12.06,04:00,12563,12615,12619,12548,352.68600246
2017.12.06,04:15,12614,12628,12656.53828618,12604,291.70436038
2017.12.06,04:30,12629,12679,12723,12581,699.88402015
2017.12.06,04:45,12680,12670,12694,12582,644.10186415
2017.12.06,05:00,12669,12733,12734,12662,592.14885937
2017.12.06,05:15,12734,12661,12734,12620,511.13055352
2017.12.06,05:30,12661,12564,12663,12497,962.43766285
2017.12.06,05:45,12564,12617,12618,12549,560.20504112
2017.12.06,06:00,12610,12688,12697,12603,378.33672172
2017.12.06,06:15,12688,12707,12718,12634,438.31740161
2017.12.06,06:30,12707,12729,12729,12698,435.40256693
2017.12.06,06:45,12728,12700,12750,12690,443.97513307
