Date,Time,Amount,Price,<Unknown>
2018.08.07,11:12:46,0.10082,7078.2,276680783
2018.08.07,11:12:48,-2,7078.8,276680791
2018.08.07,11:12:48,-0.37836,7078.8,276680792
2018.08.07,11:12:50,0.16951907,7079.5,276680795
2018.08.07,11:12:50,0.441,7079.5,276680796
2018.08.07,11:12:50,0.9402083,7079.7,276680797
2018.08.07,11:12:50,0.15,7079.78240176,276680799
2018.08.07,11:12:50,0.29927263,7080,276680800
2018.08.07,11:12:56,0.005,7080,276680824
2018.08.07,11:13:03,0.01633137,7080,276680836
2018.08.07,11:13:03,0.03366863,7080,276680837
2018.08.07,11:13:10,0.01,7080,276680857
2018.08.07,11:13:15,0.15633137,7080,276680867
2018.08.07,11:13:15,0.12366863,7080,276680868
2018.08.07,11:13:16,0.01,7080,276680887
2018.08.07,11:13:16,0.03776278,7080,276680888
2018.08.07,11:13:16,0.24223722,7080,276680889
2018.08.07,11:13:19,0.07052785,7080,276680909
2018.08.07,11:13:27,0.12144251,7080,276680928
2018.08.07,11:13:27,0.07855749,7080,276680929
2018.08.07,11:13:28,0.37144251,7080,276680932
2018.08.07,11:13:28,0.31192449,7080,276680934
2018.08.07,11:13:47,-0.02634739,7079.9,276681064
2018.08.07,11:13:47,-0.206697,7079.9,276681066
2018.08.07,11:13:54,-0.05648656,7079.9,276681111
2018.08.07,11:13:59,0.01914305,7080,276681176
2018.08.07,11:13:59,0.01948814,7080,276681177
2018.08.07,11:14:06,-0.00686578,7079.9,276681246
2018.08.07,11:14:06,-0.07042896,7079.9,276681247
2018.08.07,11:14:10,-0.34363431,7079.9,276681267
2018.08.07,11:14:10,-0.01995911,7079.9,276681268
2018.08.07,11:14:10,-0.152372,7079.9,276681269
2018.08.07,11:14:10,-0.46279437,7079.6,276681270
2018.08.07,11:14:10,-0.23958258,7078.8,276681271
2018.08.07,11:14:10,-0.28165763,7078.8,276681272
2018.08.07,11:14:14,-0.07031192,7078.8,276681307
2018.08.07,11:14:14,-0.02372835,7078.8,276681309
2018.08.07,11:14:14,-0.04658356,7078.8,276681312
2018.08.07,11:14:14,-0.06373671,7078.8,276681313
2018.08.07,11:14:26,-0.07069783,7078.8,276681376
2018.08.07,11:14:26,-0.0395618,7078.8,276681377
2018.08.07,11:14:38,-0.015,7078.8,276681410
2018.08.07,11:14:55,0.1,7078.9,276681459
2018.08.07,11:14:55,0.438,7078.9,276681460
2018.08.07,11:14:55,0.16949273,7079.2,276681461
2018.08.07,11:15:03,0.08051186,7080,276681512
2018.08.07,11:15:03,0.0153,7080,276681513
2018.08.07,11:15:03,0.8,7080,276681514
2018.08.07,11:15:03,0.10418814,7080,276681515
2018.08.07,11:15:04,0.09010557,7080,276681518
2018.08.07,11:15:04,0.11669255,7080,276681519
2018.08.07,11:15:13,0.07053345,7080,276681580
2018.08.07,11:15:14,0.07053345,7080,276681584
2018.08.07,11:15:14,0.02842583,7080,276681587
2018.08.07,11:15:14,0.04210762,7080.1,276681588
2018.08.07,11:15:14,0.05789238,7080.1,276681591
2018.08.07,11:15:15,-0.01,7080.2,276681598
2018.08.07,11:15:19,0.01264107,7080.7,276681614
2018.08.07,11:15:25,-0.00958,7080.6,276681643
2018.08.07,11:15:41,0.01,7080.3,276681711
2018.08.07,11:15:42,0.11,7080.5,276681712
2018.08.07,11:15:42,-0.07055939,7080.2,276681739
2018.08.07,11:15:42,-0.07055939,7080.2,276681740
2018.08.07,11:15:42,-0.07055939,7080.2,276681742
2018.08.07,11:15:43,-0.46073132,7080.2,276681746
2018.08.07,11:15:51,-0.00513917,7080.2,276681787
2018.08.07,11:15:57,-0.02540804,7080.2,276681809
2018.08.07,11:16:00,-0.006188,7080.2,276681821
2018.08.07,11:16:02,0.1,7080.3,276681824
2018.08.07,11:16:03,-0.16822914,7080.2,276681825
2018.08.07,11:16:19,-0.02,7080.2,276681879
2018.08.07,11:16:21,-0.07042769,7080.2,276681907
2018.08.07,11:16:21,-0.07042769,7080.2,276681909
2018.08.07,11:16:38,-0.005,7080.2,276682001
2018.08.07,11:16:38,-0.07064426,7080.2,276682005
2018.08.07,11:16:38,-0.07040259,7080.2,276682006
2018.08.07,11:16:38,-0.07040259,7080.2,276682009
2018.08.07,11:16:45,-0.0055047,7080.2,276682032
2018.08.07,11:16:46,-0.01,7080.2,276682037
2018.08.07,11:16:50,0.11645,7080.3,276682045
2018.08.07,11:16:50,0.16948555,7080.3,276682046
2018.08.07,11:16:50,2,7080.3,276682047
2018.08.07,11:17:06,-0.07063067,7082.2,276682109
2018.08.07,11:17:06,-0.07040259,7082.2,276682110
2018.08.07,11:17:06,-0.07040259,7082.2,276682111
2018.08.07,11:17:06,-0.01341015,7082.2,276682127
2018.08.07,11:17:10,0.005,7082.3,276682142
2018.08.07,11:17:22,0.005,7082.3,276682226
2018.08.07,11:17:29,0.02131806,7082.3,276682266
2018.08.07,11:17:29,0.04898873,7082.3,276682267
2018.08.07,11:17:29,0.07030679,7082.3,276682269
2018.08.07,11:17:29,0.05014216,7082.3,276682271
2018.08.07,11:17:29,0.02016463,7082.3,276682272
2018.08.07,11:17:29,0.14061357,7082.3,276682273
2018.08.07,11:17:29,0.32077428,7082.3,276682278
2018.08.07,11:17:29,0.45462704,7082.3,276682280
2018.08.07,11:17:29,0.32193152,7082.3,276682282
2018.08.07,11:17:29,0.27106291,7082.3,276682293
2018.08.07,11:17:31,0.07030679,7082.3,276682302
2018.08.07,11:17:33,-0.07045481,7082.2,276682330
2018.08.07,11:17:33,-0.05045296,7082.2,276682333
