Date,Time,Open,High,Low,Close,Volume
2018.02.11,17:35,834.9,841.2,841.87,834.86,1381.98231796
2018.02.11,17:40,840.65,836.22,841.28,835,658.96746705
2018.02.11,17:45,836.22,828.89,840,828.89,6318.55812856
2018.02.11,17:50,828.89,820,829.44,816.23,7216.46816281
2018.02.11,17:55,820,828,828,820,3164.59010182
2018.02.11,18:00,828,829.41,833,828,419.9431631
2018.02.11,18:05,829.39,831.19,832.5,829.22,225.7983924
2018.02.11,18:10,831,827.72,831,826.7,366.36421025
2018.02.11,18:15,827.72,835.34,836.56,826.7,447.01804747
2018.02.11,18:20,835.97,835.7,837.79,835.64,158.06641962
2018.02.11,18:25,835.49,837.86,838.03,835.1,92.81796822
2018.02.11,18:30,837.83,841.81,843.8,837.5,692.27394225
2018.02.11,18:35,841.91,842.86,843.81,841.5,770.20809611
2018.02.11,18:40,842.89,846,846.76,842.89,645.48322684
2018.02.11,18:45,845.64,845.43,846.87,844.69,518.97358489
2018.02.11,18:50,845.45,845.35,846.3,844.3,342.85632288
2018.02.11,18:55,843.92,847.54,847.97,843.92,501.75197233
2018.02.11,19:00,847.96,845.7,848,841.83,1331.13403774
2018.02.11,19:05,845.41,846.36,847.36,842.58,1107.43964806
2018.02.11,19:10,846.24,845.67,847.1,841.14,1103.40607092
2018.02.11,19:15,845.68,844.41,846.9,842.43,112.89019051
2018.02.11,19:20,845.11,845.63,845.63,842.83,121.79800274
2018.02.11,19:25,845.91,843.4,846.2,843.3,110.93746967
2018.02.11,19:30,843.55,844.2,844.2,843.19,341.87095431
2018.02.11,19:35,844.2,843.88,847.1,843.74,495.49718241
2018.02.11,19:40,843.8,843.83,847.1,843.75,293.82044141
2018.02.11,19:45,843.6,843,843.6,842.14,139.95532084
2018.02.11,19:50,842.14,845.3,845.5,842,69.83595734
2018.02.11,19:55,844.57,844.5,845.56,843.5,131.95616972
2018.02.11,20:00,844.5,848.9,850,844.5,277.2061988
2018.02.11,20:05,849.48,848.83,850.9,846.86,489.59351649
2018.02.11,20:10,849.2,847.06,849.2,844.5,343.34447471
2018.02.11,20:15,847.02,842.7,847.2,841.33,269.09580568
2018.02.11,20:20,841.93,843.72,845.76,837.84,981.03342798
2018.02.11,20:25,843.81,845.6,845.65,843.5,192.50189226
2018.02.11,20:30,846.35,844.08,847.35,844.08,463.50081542
2018.02.11,20:35,844.32,844.28,844.45,842.39,147.7544082
2018.02.11,20:40,844.48,844.24,844.95,843.86,93.07796607
2018.02.11,20:45,844.21,846.5,847.29,844.02,206.53153429
2018.02.11,20:50,846.01,848,848.88,846.01,150.69461746
2018.02.11,20:55,848.01,845.9,848.01,844.68,111.79644713
2018.02.11,21:00,845.5,844.5,845.5,844.42,110.35577853
2018.02.11,21:05,844.65,842.72,845,841,177.48298241
2018.02.11,21:10,843.5,839.6,843.5,839.03,69.55208111
2018.02.11,21:15,839.07,839.26,840.24,838.6,68.84264707
2018.02.11,21:20,839.8,836.27,842.55,835.81,423.29695463
2018.02.11,21:25,837,840,840.02,836.6,442.33646798
2018.02.11,21:30,840.01,837.67,841.34,837.24,467.13095368
2018.02.11,21:35,837.18,835.9,837.18,835,79.41782134
2018.02.11,21:40,836.03,835.54,838.1,833.28,299.05718419
2018.02.11,21:45,835.68,836.88,838.47,835.35,108.05800835
2018.02.11,21:50,836.8,834.66,837.74,833.81,160.11758082
2018.02.11,21:55,834.65,835.29,836,833.95,85.71381516
2018.02.11,22:00,835.29,838.14,838.41,834.78,129.07927676
2018.02.11,22:05,838.55,841,841,838.45,164.4621126
2018.02.11,22:10,840.21,839.95,841.3,837.89,45.36289485
2018.02.11,22:15,840,843.02,843.03,838.97,132.22066278
2018.02.11,22:20,843.22,843.89,843.9,841.72,84.72408374
2018.02.11,22:25,843.8,842.27,843.97,840.35,103.02398711
2018.02.11,22:30,841.83,840.49,843.8,840.49,134.67837105
2018.02.11,22:35,840.53,841.11,842.25,840.53,48.91121182
2018.02.11,22:40,841.95,841.11,842.4,841.11,106.6772298
2018.02.11,22:45,841.11,841.8,841.8,840.21,53.98182837
2018.02.11,22:50,841.8,840.74,841.8,840.27,55.81898286
2018.02.11,22:55,841.74,840,841.8,840,59.79931114
2018.02.11,23:00,840.01,839.45,841.59,838.81,56.2872092
2018.02.11,23:05,839.46,840.03,840.03,835,395.24050398
2018.02.11,23:10,840.29,841.66,841.77,840.29,55.73020216
2018.02.11,23:15,841.8,846.06,847.76,841.8,1019.00863342
2018.02.11,23:20,846,849,849.71,845.49,200.88002248
2018.02.11,23:25,849.19,849.4,849.71,848,207.34847576
2018.02.11,23:30,849.4,848.53,849.71,848.53,85.06936427
2018.02.11,23:35,848.88,848.27,848.88,848.27,71.81403373
2018.02.11,23:40,848.27,848.29,848.29,848.27,83.6500775
2018.02.11,23:45,848.29,848.3,848.3,848.27,79.37030003
2018.02.11,23:50,848.3,844.91,848.3,844.91,265.81741921
2018.02.11,23:55,844.82,845.71,846.34,843.84,171.08897226
2018.02.12,00:00,846.14,847.6,847.6,845.7,104.24909067
2018.02.12,00:05,847.6,854.32,854.49,847.54,610.51390491
2018.02.12,00:10,854.33,863.98,864.16,854.32,2713.228684
2018.02.12,00:15,863.98,861.6,867.9,860.59,1139.10171211
2018.02.12,00:20,861.52,862.33,866.99,861.52,817.30136574
2018.02.12,00:25,863.66,865.69,868.5,861.79,695.83275612
2018.02.12,00:30,866.86,867.2,867.99,863.8,644.89867575
2018.02.12,00:35,867.43,864.53,867.5,863.07,520.7545318
2018.02.12,00:40,864.46,871.16,872.72,862.92,1184.79328896
2018.02.12,00:45,870.81,870.98,872.05,868.44,215.91855908
