Date,Time,Open,High,Low,Close,Volume
2018.02.20,1:53,731.05,732.33,730.13,730.36,18
2018.02.20,1:54,730.37,731.71,730.37,730.79,10
2018.02.20,1:55,730.35,731.59,730.35,730.74,10
2018.02.20,1:56,731.06,732.9,729.75,731.42,15
2018.02.20,1:57,731.41,732.35,730.09,732.27,20
2018.02.20,1:58,732.31,732.31,731.62,731.97,14
2018.02.20,1:59,730.66,731.78,729.7,730.8,10
2018.02.20,2:00,731.46,731.46,729.94,730.35,12
2018.02.20,2:01,730.75,733.17,730.75,731.93,9
2018.02.20,2:02,731.77,732.65,731.66,732.58,13
2018.02.20,2:03,732.48,732.48,730.33,731.74,21
2018.02.20,2:04,731.22,732.04,730.95,731.79,12
2018.02.20,2:05,732.32,732.49,731.58,731.82,21
2018.02.20,2:06,731.81,731.93,731.09,731.09,17
2018.02.20,2:07,731.08,731.89,730.81,731.89,24
2018.02.20,2:08,732.02,732.57,731.36,732.57,20
2018.02.20,2:09,732.18,733.43,732.18,733.24,9
2018.02.20,2:10,733,734.1,733,733.6,15
2018.02.20,2:11,733.92,734,733.17,733.17,17
2018.02.20,2:12,733.58,735.03,733.58,735.03,6
2018.02.20,2:13,734.23,735.59,734.23,734.62,19
2018.02.20,2:14,734.8,734.8,733.92,734.06,16
2018.02.20,2:15,734.08,734.83,734.05,734.51,22
2018.02.20,2:16,734.52,734.61,733.26,733.26,16
2018.02.20,2:17,734.35,734.88,733.8,734.13,12
2018.02.20,2:18,733.97,734.2,733.8,734.2,14
2018.02.20,2:19,734.3,734.33,733.48,733.48,11
2018.02.20,2:20,733.29,735.7,733.29,735.61,17
2018.02.20,2:21,735.68,737.11,735.31,735.47,25
2018.02.20,2:22,735.29,735.29,734.85,734.85,11
2018.02.20,2:23,735.38,737.42,735.38,737.42,17
2018.02.20,2:24,737.24,737.24,735.02,735.02,5
2018.02.20,2:25,735.01,735.7,734.87,735.7,19
2018.02.20,2:26,735.9,735.9,734.61,734.63,22
2018.02.20,2:27,734.67,735.27,734.35,735.27,22
2018.02.20,2:28,735.28,735.28,734.52,735.02,23
2018.02.20,2:29,735.19,735.23,734.94,735.18,23
2018.02.20,2:30,735.22,736.07,734.97,735.78,26
2018.02.20,2:31,735.8,735.8,734.18,734.18,18
2018.02.20,2:32,734.12,735.6,733.51,735.6,20
2018.02.20,2:33,734.83,734.83,733.5,734.49,14
2018.02.20,2:34,733.67,734.6,733.04,734.58,23
2018.02.20,2:35,733.69,734.83,733.4,734.82,20
2018.02.20,2:36,734.12,734.25,733.83,733.85,21
2018.02.20,2:37,733.84,734.65,733.84,734.65,21
2018.02.20,2:38,734.7,734.71,733.99,733.99,16
2018.02.20,2:39,735.16,735.2,734.08,734.08,13
2018.02.20,2:40,734.66,734.98,733.9,734.31,17
2018.02.20,2:41,733.98,735.74,733.77,735.11,12
2018.02.20,2:42,734.5,734.53,734.12,734.52,18
2018.02.20,2:43,734.6,734.77,734.28,734.68,15
2018.02.20,2:44,734.72,734.76,733.87,733.9,15
2018.02.20,2:45,735.1,735.16,734.9,735.08,17
2018.02.20,2:46,735.09,735.34,734.49,734.49,17
2018.02.20,2:47,734.48,735.06,733.85,734.17,18
2018.02.20,2:48,734.16,734.16,733.06,733.89,17
2018.02.20,2:49,733.87,733.87,732.21,732.21,19
2018.02.20,2:50,732.93,732.93,731.47,731.66,18
2018.02.20,2:51,731.65,732.44,730.92,731,19
2018.02.20,2:52,730.99,731.73,730,730.01,18
2018.02.20,2:53,730,731.34,729.93,731.29,23
2018.02.20,2:54,731.28,732.14,730.95,732.14,13
2018.02.20,2:55,732.4,732.94,731.75,732.8,17
2018.02.20,2:56,732.47,733.08,732.27,732.75,18
2018.02.20,2:57,732.15,733.08,731.56,733.04,18
2018.02.20,2:58,733.02,733.4,732.48,732.74,19
2018.02.20,2:59,732.87,734.45,732.52,733.69,19
2018.02.20,3:00,732.87,734.03,732.87,733.74,18
2018.02.20,3:01,733.72,734.64,733.72,734.61,22
2018.02.20,3:02,734.66,734.84,733.17,733.94,17
2018.02.20,3:03,733.93,735.53,733.93,735.31,18
2018.02.20,3:04,735.25,735.73,733.84,735.73,17
2018.02.20,3:05,735.58,735.78,734.35,734.36,15
2018.02.20,3:06,734.31,734.37,734.14,734.19,20
