Date,Time,Open,High,Low,Close,Volume
2018.02.16,22:52,931.52999,931.59,930.94,930.98,28
2018.02.16,22:53,930.97,930.97,930.94,930.94,10
2018.02.16,22:54,930.94,930.94,930.94,930.94,3
2018.02.16,22:55,930.94,930.94,930.94,930.94,3
2018.02.16,22:56,930.94,930.94,930.94,930.94,3
2018.02.16,22:57,930.94,931.03998,930.94,931.03998,20
2018.02.16,22:58,930.98,931.04998,930.90999,931.04998,17
2018.02.16,22:59,931.04998,931.64999,931.04998,931.64999,13
2018.02.16,23:00,931.64999,931.99999,931.64999,931.99999,16
2018.02.16,23:01,931.99999,932.30998,931.99999,932.30998,7
2018.02.16,23:02,932.30998,934.03998,932.30998,934.03998,33
2018.02.16,23:03,933.35,933.35,931.24999,932.21,20
2018.02.16,23:04,932.22,933.39999,932.22,933.39999,40
2018.02.16,23:05,933.37999,933.46,933.37999,933.46,2
2018.02.16,23:06,933.37999,933.46,933.37999,933.46,2
2018.02.16,23:07,933.37999,933.46,933.37999,933.46,2
2018.02.16,23:08,933.37999,933.46,933.37999,933.46,2
2018.02.16,23:09,933.37999,933.46,933.37999,933.46,2
2018.02.16,23:10,933.37999,933.46,933.37999,933.46,2
2018.02.16,23:11,933.32,933.46,933.32,933.46,2
2018.02.16,23:12,933.32,933.46,933.32,933.46,2
2018.02.16,23:13,933.32,933.46,933.32,933.46,2
2018.02.16,23:14,933.47,933.48,933.47,933.48,2
2018.02.16,23:15,933.48,933.51999,933.48,933.51999,4
2018.02.16,23:16,933.52999,933.77999,933.52999,933.77999,7
2018.02.16,23:17,933.52999,933.77999,933.52999,933.77999,7
2018.02.16,23:18,933.77999,934.08,933.77999,934.08,14
2018.02.16,23:19,934.09,934.47,934.09,934.47,18
2018.02.16,23:20,933.26999,933.26999,932.39999,932.58,17
2018.02.16,23:21,932.57,933.00999,932.53998,933.00999,35
2018.02.16,23:22,933.01999,933.02999,932.79998,933.02999,17
2018.02.16,23:23,933.01999,933.02999,932.79998,933.02999,17
2018.02.16,23:24,933.02999,933.03998,933.02999,933.03998,4
2018.02.16,23:25,933.03998,933.61999,933.03998,933.61999,11
2018.02.16,23:26,933.03998,933.61999,933.03998,933.61999,11
2018.02.16,23:27,933.03998,933.61999,933.03998,933.61999,11
2018.02.16,23:28,932.49999,933.25999,932.29998,933.16998,37
2018.02.16,23:29,933.16998,933.45,933.16998,933.45,13
2018.02.16,23:30,933.45,933.61999,933.45,933.61999,2
2018.02.16,23:31,933.61999,933.95,933.61999,933.95,8
2018.02.16,23:32,933.95,933.95,933.95,933.95,2
2018.02.16,23:33,933.1,933.59,933.1,933.59,28
2018.02.16,23:34,933.71,933.87999,932.89999,933.09,24
2018.02.16,23:35,933.02999,933.02999,932.40999,932.52999,10
2018.02.16,23:36,932.52999,933.09,932.52999,933.09,38
2018.02.16,23:37,933.09,933.22,932.51999,933.09,12
2018.02.16,23:38,932.54998,932.58,931.36,931.89999,34
2018.02.16,23:39,931.89999,932.08,931.89999,932.08,12
2018.02.16,23:40,932.09,932.09,932.09,932.09,1
2018.02.16,23:41,932.09,932.96,932.09,932.96,9
2018.02.16,23:42,932.09,932.96,932.09,932.96,9
2018.02.16,23:43,932.09,932.96,932.09,932.96,9
