Date,Time,Open,High,Low,Close,Volume
2018.02.13,16:28,1.2348,1.23499,1.2348,1.23484,85
2018.02.13,16:29,1.23484,1.23486,1.23467,1.23479,85
2018.02.13,16:30,1.23479,1.23491,1.23461,1.23491,101
2018.02.13,16:31,1.23492,1.23538,1.2349,1.23515,112
2018.02.13,16:32,1.23515,1.23525,1.23494,1.23494,124
2018.02.13,16:33,1.23496,1.23513,1.23474,1.23482,112
2018.02.13,16:34,1.2348,1.23511,1.23475,1.23501,102
2018.02.13,16:35,1.23503,1.23517,1.2348,1.23492,128
2018.02.13,16:36,1.2349,1.23494,1.23452,1.23454,134
2018.02.13,16:37,1.23454,1.23462,1.2345,1.2346,90
2018.02.13,16:38,1.23458,1.2347,1.2344,1.2344,69
2018.02.13,16:39,1.23441,1.23467,1.2344,1.23466,80
2018.02.13,16:40,1.23466,1.23466,1.2344,1.23462,80
2018.02.13,16:41,1.23464,1.23485,1.23464,1.23485,81
2018.02.13,16:42,1.23484,1.23493,1.23479,1.23493,61
2018.02.13,16:43,1.23493,1.23525,1.23486,1.23504,91
2018.02.13,16:44,1.23503,1.23537,1.235,1.23537,107
2018.02.13,16:45,1.23535,1.23535,1.23506,1.2352,105
2018.02.13,16:46,1.2352,1.23526,1.23505,1.2352,52
2018.02.13,16:47,1.23522,1.23536,1.23514,1.23535,65
2018.02.13,16:48,1.23525,1.2353,1.23491,1.23494,103
2018.02.13,16:49,1.23495,1.23502,1.23473,1.23492,149
2018.02.13,16:50,1.23492,1.23503,1.23484,1.23501,86
2018.02.13,16:51,1.23501,1.23585,1.23501,1.2357,125
2018.02.13,16:52,1.23571,1.23591,1.23556,1.23575,149
2018.02.13,16:53,1.23571,1.23574,1.23551,1.23556,96
2018.02.13,16:54,1.23552,1.2361,1.23552,1.23591,141
2018.02.13,16:55,1.23594,1.23597,1.23567,1.23583,140
2018.02.13,16:56,1.23583,1.23583,1.23566,1.23567,100
2018.02.13,16:57,1.23568,1.23583,1.23567,1.2358,69
2018.02.13,16:58,1.2358,1.23641,1.2358,1.23626,132
2018.02.13,16:59,1.23624,1.23675,1.2362,1.23651,145
2018.02.13,17:00,1.23653,1.23664,1.23626,1.23662,159
2018.02.13,17:01,1.23662,1.23703,1.23652,1.23698,131
2018.02.13,17:02,1.23685,1.23705,1.23669,1.2367,126
2018.02.13,17:03,1.2367,1.2367,1.23631,1.23633,123
2018.02.13,17:04,1.23632,1.23644,1.23624,1.23624,86
2018.02.13,17:05,1.23624,1.23627,1.23607,1.23616,92
2018.02.13,17:06,1.23615,1.23638,1.23608,1.23627,87
2018.02.13,17:07,1.23626,1.23636,1.23605,1.23612,99
2018.02.13,17:08,1.23613,1.23628,1.236,1.23609,100
2018.02.13,17:09,1.23607,1.23612,1.23598,1.23599,56
2018.02.13,17:10,1.236,1.23622,1.236,1.23607,76
2018.02.13,17:11,1.23606,1.23615,1.23599,1.236,65
2018.02.13,17:12,1.23601,1.23611,1.23573,1.23575,86
2018.02.13,17:13,1.23575,1.23599,1.2355,1.23555,151
2018.02.13,17:14,1.23553,1.23579,1.23546,1.23577,113
2018.02.13,17:15,1.23577,1.23579,1.23549,1.23554,79
2018.02.13,17:16,1.23554,1.23566,1.23546,1.23565,69
2018.02.13,17:17,1.23566,1.23566,1.23544,1.23553,80
2018.02.13,17:18,1.23553,1.23557,1.2354,1.23551,71
2018.02.13,17:19,1.23552,1.23562,1.23541,1.2355,78
2018.02.13,17:20,1.2355,1.23572,1.23536,1.23568,88
2018.02.13,17:21,1.23571,1.23605,1.23568,1.23596,76
2018.02.13,17:22,1.23594,1.23611,1.23586,1.23609,60
2018.02.13,17:23,1.23611,1.23625,1.23611,1.23621,72
2018.02.13,17:24,1.23622,1.23644,1.23611,1.23637,78
2018.02.13,17:25,1.23636,1.23636,1.23596,1.23602,107
2018.02.13,17:26,1.23603,1.23614,1.23598,1.236,74
2018.02.13,17:27,1.23604,1.23604,1.23584,1.23585,64
2018.02.13,17:28,1.23586,1.23605,1.23586,1.23589,99
2018.02.13,17:29,1.23585,1.23601,1.2358,1.23594,92
2018.02.13,17:30,1.236,1.23604,1.23572,1.23585,79
2018.02.13,17:31,1.23585,1.23587,1.23575,1.2358,121
2018.02.13,17:32,1.23581,1.23581,1.2356,1.23567,114
2018.02.13,17:33,1.23567,1.236,1.23566,1.236,115
2018.02.13,17:34,1.23596,1.23639,1.23596,1.23637,104
2018.02.13,17:35,1.23642,1.23647,1.23631,1.23646,98
2018.02.13,17:36,1.23645,1.23681,1.23643,1.23676,100
2018.02.13,17:37,1.23678,1.23704,1.23666,1.23686,105
2018.02.13,17:38,1.23686,1.23686,1.23657,1.23672,94
2018.02.13,17:39,1.23672,1.23707,1.23671,1.23707,88
2018.02.13,17:40,1.23706,1.23707,1.2366,1.2366,97
2018.02.13,17:41,1.23659,1.23694,1.23659,1.23689,105
2018.02.13,17:42,1.23688,1.23691,1.23684,1.23684,61
2018.02.13,17:43,1.23684,1.2369,1.23656,1.23659,92
2018.02.13,17:44,1.23659,1.23674,1.23657,1.23672,90
2018.02.13,17:45,1.23672,1.23679,1.23622,1.23626,107
2018.02.13,17:46,1.23626,1.23647,1.23624,1.23624,106
2018.02.13,17:47,1.23625,1.2365,1.23609,1.23609,99
2018.02.13,17:48,1.2361,1.23623,1.23603,1.23619,104
