Date,Time,Open,High,Low,Close,Volume
2018.02.16,22:52,1.40132,1.40133,1.40117,1.40132,73
2018.02.16,22:53,1.4013,1.4014,1.40118,1.4014,43
2018.02.16,22:54,1.40142,1.40142,1.40121,1.40133,58
2018.02.16,22:55,1.40131,1.40133,1.40128,1.40129,35
2018.02.16,22:56,1.4013,1.40151,1.40129,1.40141,43
2018.02.16,22:57,1.4014,1.40152,1.40136,1.40139,73
2018.02.16,22:58,1.40137,1.4014,1.40129,1.40139,61
2018.02.16,22:59,1.40138,1.40141,1.40109,1.40113,103
2018.02.16,23:00,1.40114,1.40147,1.40114,1.40142,93
2018.02.16,23:01,1.40146,1.40161,1.40138,1.40159,60
2018.02.16,23:02,1.40158,1.40159,1.40149,1.40149,54
2018.02.16,23:03,1.40149,1.40152,1.40142,1.40151,39
2018.02.16,23:04,1.40152,1.40154,1.40143,1.40145,46
2018.02.16,23:05,1.40145,1.40148,1.4014,1.40143,23
2018.02.16,23:06,1.40145,1.40161,1.40145,1.4015,58
2018.02.16,23:07,1.40151,1.40162,1.40147,1.40158,75
2018.02.16,23:08,1.40155,1.40156,1.40146,1.40151,44
2018.02.16,23:09,1.4015,1.40178,1.4015,1.40172,62
2018.02.16,23:10,1.40172,1.40175,1.40171,1.40175,22
2018.02.16,23:11,1.40175,1.4018,1.40171,1.4018,26
2018.02.16,23:12,1.40176,1.4018,1.40175,1.40178,21
2018.02.16,23:13,1.40177,1.40189,1.40177,1.40185,24
2018.02.16,23:14,1.40186,1.40191,1.40186,1.4019,32
2018.02.16,23:15,1.4019,1.40213,1.40185,1.40211,48
2018.02.16,23:16,1.4021,1.40211,1.40207,1.40207,17
2018.02.16,23:17,1.40209,1.4022,1.40209,1.40218,54
2018.02.16,23:18,1.40217,1.40221,1.40217,1.40218,28
2018.02.16,23:19,1.40217,1.40222,1.40216,1.4022,29
2018.02.16,23:20,1.40219,1.40227,1.40219,1.40227,20
2018.02.16,23:21,1.40226,1.4023,1.40226,1.40228,34
2018.02.16,23:22,1.40228,1.4023,1.40227,1.4023,27
2018.02.16,23:23,1.40231,1.40236,1.40225,1.40226,31
2018.02.16,23:24,1.40226,1.40226,1.40219,1.40219,16
2018.02.16,23:25,1.40221,1.40221,1.40218,1.40219,39
2018.02.16,23:26,1.40219,1.40225,1.40217,1.40221,33
2018.02.16,23:27,1.4022,1.40235,1.4022,1.40232,42
2018.02.16,23:28,1.40233,1.4024,1.40228,1.40232,45
2018.02.16,23:29,1.40231,1.40239,1.40228,1.40232,79
2018.02.16,23:30,1.40231,1.40231,1.40221,1.40229,59
2018.02.16,23:31,1.40231,1.4024,1.4023,1.4023,40
2018.02.16,23:32,1.40231,1.40243,1.4023,1.40242,54
2018.02.16,23:33,1.40244,1.40245,1.40238,1.4024,38
2018.02.16,23:34,1.40239,1.40249,1.40238,1.40243,43
2018.02.16,23:35,1.40244,1.40247,1.40229,1.4023,28
2018.02.16,23:36,1.40232,1.40245,1.40232,1.40242,27
2018.02.16,23:37,1.40244,1.40249,1.40232,1.40235,44
2018.02.16,23:38,1.40237,1.4024,1.40232,1.40235,23
2018.02.16,23:39,1.40235,1.40239,1.40235,1.40237,5
2018.02.16,23:40,1.40236,1.40236,1.40229,1.4023,27
2018.02.16,23:41,1.4023,1.40232,1.40224,1.40226,30
2018.02.16,23:42,1.40228,1.40229,1.4022,1.40222,19
2018.02.16,23:43,1.40223,1.40231,1.40222,1.40229,18
2018.02.16,23:44,1.4023,1.40233,1.40223,1.40233,37
2018.02.16,23:45,1.40233,1.40233,1.40229,1.40231,19
2018.02.16,23:46,1.40231,1.40233,1.4022,1.40222,25
2018.02.16,23:47,1.40232,1.40239,1.40232,1.40238,35
2018.02.16,23:48,1.40239,1.40241,1.40236,1.40236,30
2018.02.16,23:49,1.40235,1.40251,1.40228,1.40249,39
