Date,Time,Open,High,Low,Close,Volume
2018.02.17,07:52,1515.36,1516.43,1515.43,1515.36,3.0001
2018.02.17,07:53,1516.31,1517.41,1517.41,1516.31,0.5462
2018.02.17,07:54,1517.13,1519.1,1517.13,1519.1,1.1561
2018.02.17,07:55,1518.09,1519.23,1519.22,1518.3,3.2779000000000007
2018.02.17,07:56,1518.16,1518.3,1518.16,1518.18,0.12060000000000001
2018.02.17,07:57,1516.21,1518.16,1518.16,1516.21,1.9619
2018.02.17,07:58,1513,1516.16,1516.16,1513.69,12.213218769999997
2018.02.17,07:59,1513.69,1515.12,1515.12,1514.8,2.2179
2018.02.17,08:00,1514.87,1516,1514.87,1516,1.5657
2018.02.17,08:01,1515.7,1517.83,1515.7,1517.83,8.70040264
2018.02.17,08:02,1516,1516.8,1516.8,1516,3.3353
2018.02.17,08:03,1516,1516.98,1516.1,1516.98,1.9441110099999999
2018.02.17,08:04,1516.55,1517.5,1516.55,1517.5,1.0809000000000002
2018.02.17,08:05,1516.77,1518,1517.5,1518,1.49449318
2018.02.17,08:06,1516.85,1519,1518,1518.65,6.02066672
2018.02.17,08:07,1518.24,1519,1518.24,1519,0.2326
2018.02.17,08:08,1518.41,1519,1518.41,1519,3.5595740300000003
2018.02.17,08:09,1518.99,1519,1519,1519,1.86259
2018.02.17,08:10,1518.95,1518.99,1518.99,1518.96,2.81991707
2018.02.17,08:11,1518.95,1518.96,1518.95,1518.96,1.69187822
2018.02.17,08:12,1518.96,1518.96,1518.96,1518.96,2.45590337
2018.02.17,08:13,1518.95,1518.96,1518.96,1518.95,0.15810000000000002
2018.02.17,08:14,1518.95,1518.96,1518.95,1518.96,1.02761
2018.02.17,08:15,1518.95,1518.96,1518.95,1518.96,2.4098
2018.02.17,08:16,1518.95,1518.96,1518.95,1518.95,4.95554875
2018.02.17,08:17,1518.95,1518.96,1518.95,1518.95,2.5312
2018.02.17,08:18,1518.96,1518.96,1518.96,1518.96,1.851038
2018.02.17,08:19,1518.95,1518.96,1518.96,1518.96,3.7307908000000003
2018.02.17,08:20,1518.95,1518.96,1518.95,1518.96,0.1821
2018.02.17,08:21,1517.81,1518.96,1518.95,1517.81,1.7319887599999997
2018.02.17,08:22,1517.99,1518.96,1517.99,1518.15,2.7089
2018.02.17,08:23,1518.15,1518.9,1518.15,1518.64,1.3522999999999998
2018.02.17,08:24,1518.02,1518.8,1518.36,1518.02,0.6662344800000001
2018.02.17,08:25,1516,1518.95,1518.76,1517.33,3.157784760000003
2018.02.17,08:26,1516.01,1519,1517.38,1519,13.61064649
2018.02.17,08:27,1519,1520,1519,1520,4.9313226
2018.02.17,08:28,1519.21,1520,1520,1519.78,0.6492
2018.02.17,08:29,1518.44,1521.18,1518.47,1521.18,6.3102
2018.02.17,08:30,1520.86,1521.47,1521.18,1521.13,3.6319000000000004
2018.02.17,08:31,1521.47,1522.96,1521.47,1522.96,12.451999999999995
2018.02.17,08:32,1522.96,1525,1522.96,1525,16.624718979999997
2018.02.17,08:33,1524.87,1525,1524.87,1525,4.16210998
2018.02.17,08:34,1522.9,1525,1525,1522.9,8.45050226
2018.02.17,08:35,1523,1523.62,1523,1523.27,1.7063000000000001
2018.02.17,08:36,1523.26,1523.27,1523.27,1523.27,4.75991319
2018.02.17,08:37,1523.01,1523.27,1523.27,1523.01,41.860026510000004
2018.02.17,08:38,1523.01,1523.27,1523.01,1523.02,0.72134679
2018.02.17,08:39,1523,1523.27,1523,1523.27,1.4195
2018.02.17,08:40,1523,1523.27,1523.27,1523,5.31601887
2018.02.17,08:41,1523.01,1523.22,1523.01,1523.22,1.2959866400000002
2018.02.17,08:42,1523,1523.22,1523.17,1523,2.7993
2018.02.17,08:43,1523.22,1523.22,1523.22,1523.22,0.13101846
2018.02.17,08:44,1523.03,1523.22,1523.21,1523.22,0.5740000000000001
2018.02.17,08:45,1523.21,1524.8,1523.22,1524.79,7.89682169
2018.02.17,08:46,1523.21,1525,1524.8,1525,9.05272149
2018.02.17,08:47,1525,1528.15,1525,1526.18,7.850427020000001
2018.02.17,08:48,1524.24,1527.62,1527.55,1526.28,2.1317231699999986
2018.02.17,08:49,1524.63,1526.42,1526.41,1526.42,0.97923045
2018.02.17,08:50,1523.21,1525.46,1525.46,1525.11,2.76280968
2018.02.17,08:51,1524.26,1525.11,1525.11,1524.26,0.67152527
