Date,Time,Open,High,Low,Close,Volume
2018.02.17,07:52,967.28,967.29,967.29,967.29,7.77120094
2018.02.17,07:53,967.28,967.29,967.29,967.29,31.022161970000003
2018.02.17,07:54,967.28,967.29,967.29,967.28,10.063762399999998
2018.02.17,07:55,967.28,969,967.28,969,170.18870293
2018.02.17,07:56,968.99,969,969,969,20.0053819
2018.02.17,07:57,968.99,969.06,969,969,34.646947159999996
2018.02.17,07:58,968.99,969,968.99,969,30.61425621
2018.02.17,07:59,968.9,968.99,968.99,968.91,40.14688135
2018.02.17,08:00,968.91,969,968.91,969,31.93613205
2018.02.17,08:01,968.99,969,968.99,969,61.83002459
2018.02.17,08:02,968.99,969,969,969,9.6101683
2018.02.17,08:03,969,969.01,969.01,969.01,32.5703255
2018.02.17,08:04,969.01,969.02,969.01,969.02,36.08302557
2018.02.17,08:05,969.01,969.02,969.01,969.02,19.17926534
2018.02.17,08:06,969.01,969.09,969.02,969.08,64.42678556
2018.02.17,08:07,969.09,969.09,969.09,969.09,20.146325240000003
2018.02.17,08:08,969.09,969.1,969.09,969.1,8.57109771
2018.02.17,08:09,969.09,969.12,969.1,969.1,27.181406020000004
2018.02.17,08:10,969.09,969.1,969.09,969.1,23.33517391
2018.02.17,08:11,969.09,969.1,969.09,969.09,50.68831603
2018.02.17,08:12,969.09,969.1,969.09,969.1,25.555056589999996
2018.02.17,08:13,967.01,969.1,969.1,967.01,72.81828231
2018.02.17,08:14,967,967.01,967,967,7.001635519999999
2018.02.17,08:15,967,967.01,967.01,967,33.05645178
2018.02.17,08:16,967,967.01,967.01,967.01,21.802207780000003
2018.02.17,08:17,967,968.41,967.01,968.41,98.89133147000001
2018.02.17,08:18,968.61,969.35,968.61,969.35,29.02705673
2018.02.17,08:19,969.34,969.35,969.35,969.34,10.099785329999998
2018.02.17,08:20,969.34,969.35,969.34,969.34,36.5627
2018.02.17,08:21,969.34,969.35,969.35,969.34,16.7589154
2018.02.17,08:22,969.34,969.35,969.34,969.35,81.61099399999999
2018.02.17,08:23,969.3,969.35,969.35,969.3,31.45352443
2018.02.17,08:24,968.33,969.31,969.31,968.34,37.68262567000001
2018.02.17,08:25,968.16,969.32,968.18,969.32,36.209808560000006
2018.02.17,08:26,969.32,969.35,969.32,969.34,13.651893260000001
2018.02.17,08:27,969.35,969.98,969.35,969.98,38.229785369999995
2018.02.17,08:28,969.89,969.98,969.98,969.9,20.73405453
2018.02.17,08:29,969.89,970,969.9,969.99,33.498778439999995
2018.02.17,08:30,969.99,970,970,969.99,21.44293102
2018.02.17,08:31,969.99,970,970,969.99,23.10270658
2018.02.17,08:32,970,970,970,970,47.3007784
2018.02.17,08:33,969.99,970,970,970,24.93603004
2018.02.17,08:34,969.99,970,969.99,970,60.78174979
2018.02.17,08:35,969.99,970,969.99,970,16.92044096
2018.02.17,08:36,970,970.45,970,970.45,32.12575794
2018.02.17,08:37,970.45,971,970.45,971,53.807105050000004
2018.02.17,08:38,970.99,971.38,970.99,971.38,42.39916443
